supplier,manufacturer,transport,inventory_level
Alpha Corp,Nexus Industries,Truck,200
Beta Ltd,Orion Manufacturing,Ship,150
Gamma Inc,Zenith Works,Air,100
Delta Co,Nexus Industries,Train,180
Epsilon Enterprises,Orion Manufacturing,Truck,130
Falcon Supplies,Zenith Works,Ship,120
Globe Traders,Nexus Industries,Air,170
Helix Group,Orion Manufacturing,Train,160
Infinity Logistics,Zenith Works,Truck,140
Jupiter Ltd,Orion Manufacturing,Ship,110
Keystone Corp,Zenith Works,Air,90
Lunar Supplies,Nexus Industries,Truck,210
Matrix Logistics,Orion Manufacturing,Ship,190
Nova Exports,Zenith Works,Train,175
Omega Traders,Nexus Industries,Air,125
Pinnacle Group,Orion Manufacturing,Truck,195
Quantum Corp,Zenith Works,Ship,135
Radiant Supplies,Nexus Industries,Train,145
Summit Ltd,Orion Manufacturing,Air,155
Titanium Traders,Zenith Works,Truck,165
Umbra Logistics,Nexus Industries,Ship,185
Vertex Corp,Orion Manufacturing,Air,115
Whirlwind Exports,Zenith Works,Train,105
Xenon Supplies,Nexus Industries,Truck,200
Yellowstone Co,Orion Manufacturing,Ship,150
Zephyr Group,Zenith Works,Air,130
Atlas Logistics,Nexus Industries,Train,170
Blaze Enterprises,Orion Manufacturing,Truck,160
Crest Corp,Zenith Works,Air,120
Draco Ltd,Nexus Industries,Ship,140
